id;i_dorder;i_dcooperative;i_dcustomer;i_dcourse;total_price;date;state
1;48469;32217;74058;74141;224;2022-04-13T13:50:25;Delivered
2;66933;34818;96959;63528;207;2022-04-13T21:53:40;OnTheWay
3;6249;69947;20742;55341;81;2022-04-13T13:25:12;Delivered
4;49140;50210;44495;39702;148;2022-04-13T16:53:05;PickedUp
5;96360;61547;80077;29939;56;2022-04-13T14:28:31;OnTheWay
6;36148;67206;1403;87119;143;2022-04-13T21:18:35;PickedUp
7;3682;37759;40818;60230;270;2022-04-13T17:52:06;OnTheWay
8;61533;47723;55341;81431;146;2022-04-14T08:32:42;PickedUp
9;74641;14645;14754;44552;179;2022-04-13T12:35:54;Delivered
10;54519;29068;66445;7374;13;2022-04-13T16:15:31;Delivered
